Nama Kota;Luas Panen 2010;Luas Panen 2011;Luas Panen 2012;Luas Panen 2013;Luas Panen 2014;Luas Panen 2015;Luas Panen 2016;Luas Panen 2017;Luas Panen 2018;Luas Panen 2019;Luas Panen 2020;Luas Panen 2021;Luas Panen 2022;Luas Panen 2023;Luas Panen 2024;Produksi 2010;Produksi 2011;Produksi 2012;Produksi 2013;Produksi 2014;Produksi 2015;Produksi 2016;Produksi 2017;Produksi 2018;Produksi 2019;Produksi 2020;Produksi 2021;Produksi 2022;Produksi 2023;Produksi 2024;Produktivitas 2010;Produktivitas 2011;Produktivitas 2012;Produktivitas 2013;Produktivitas 2014;Produktivitas 2015;Produktivitas 2016;Produktivitas 2017;Produktivitas 2018;Produktivitas 2019;Produktivitas 2020;Produktivitas 2021;Produktivitas 2022;Produktivitas 2023;Produktivitas 2024
3208 - Kab. Kuningan;351;108;262;159;56;115;74;0;10;105.8;106.9;103.3;90.6;0;0;438;124;411;181;60;123;84;0;10;105;162;110;92;0;0;12.49;11.48;15.69;11.38;10.71;10.7;11.35135135;0;0;0;0;0;0;0;0
3209 - Kab. Cirebon;3290;2360;871;1201;1742;1755;2384.7;0;2235.8;1194.1;1903.6;1798.2;1986.6;0;0;3642;3156;1223;1969;1917;2886;3412;0;2529;1294;2107.6;1961.5;1541;0;0;11.07;13.37;14.04;16.39;11;16.44;14.3078794;0;0;0;0;0;0;0;0
3210 - Kab. Majalengka;1473;1601;965;811;1134;1076;2001.8;0;2736;1668.8;1793.7;1660.9;1173.6;0;0;1681;1398;879;868;778;1123;2090;0;2692;1502;1710;1653;1114;0;0;11.41;8.73;9.11;10.7;6.86;10.44;10.44060346;0;0;0;0;0;0;0;0
3211 - Kab. Sumedang;1461;1159;1478;919;222;142;348.4;0;65.9;45.9;181.9;135.9;107.6;0;0;1560;1309;1732;964;273;257;468;0;70;47;389;143;196;0;0;10.68;11.29;11.72;10.49;12.3;18.1;13.43283582;0;0;0;0;0;0;0;0
3212 - Kab. Indramayu;1030;1187;788;413;1383;876;80.2;0;509.3;191.9;552.9;85.7;372.9;0;0;1240;1216;744;421;3359;892;94;0;530;201;611;104.2;7.3;0;0;12.04;10.24;9.44;10.19;24.29;10.18;11.72069825;0;0;0;0;0;0;0;0
3213 - Kab. Subang;160;132;70;11;33;34;25.7;0;163.8;247.5;58.6;80.2;95.5;0;0;161;153;87;12;32;49;35;0;572;251;35;74.5;135;0;0;10.03;11.59;12.43;10.91;9.7;14.41;13.61867704;0;0;0;0;0;0;0;0
3214 - Kab. Purwakarta;663;581;390;231;159;163;101.8;0;66.7;55.7;56.8;112.5;63;0;0;954;710;430;269;178;220;135;0;67.1;55.5;81.7;174.7;139.2;0;0;14.39;12.22;11.03;11.65;11.19;13.5;13.26129666;0;0;0;0;0;0;0;0
3215 - Kab. Karawang;936;1056;837;755;746;453;397.1;0;217.6;1089.8;98.5;257.8;34.8;0;0;1165;1357;1064;943;666;611;519;0;223;1122.5;55.2;435.5;41.3;0;0;12.44;12.85;12.71;12.49;8.93;13.49;13.06975573;0;0;0;0;0;0;0;0
3216 - Kab. Bekasi;16;12;19;6;1;0;4;0;3;2.9;0;5;0;0;0;19;12;22;9;1;0;2;0;3.4;3;0;2;0;0;0;11.91;10;11.58;15;10;0;5;0;0;0;0;0;0;0;0
3217 - Kab. Bandung Barat;179;79;61;49;39;16;29;0;18.2;11.8;0;1.9;51;0;0;210;92;73;57;50;22;39;0;18.2;12;0;5;5.1;0;0;11.71;11.65;11.97;11.63;12.82;13.75;13.44827586;0;0;0;0;0;0;0;0
3218 - Kab. Pangandaran;0;0;0;0;650;320;2;0;626.6;69.4;188.9;172.4;0;0;0;0;0;0;0;781;349;0;0;659;73;215;199.2;0;0;0;0;0;0;0;12.02;10.91;0;0;0;0;0;0;0;0;0
3271 - Kota Bogor;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;10;10;0;0;0;0;0;0;0;0;0;0;0;0
3272 - Kota Sukabumi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3273 - Kota Bandung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3274 - Kota Cirebon;14;15;5;8;4;3;3;0;3.9;0;4.7;0.9;2.8;0;0;14;15;5;8;4;3;3;0;4;0;4.5;1;2;0;0;14;10;10;10;10;10;10;0;0;0;0;0;0;0;0
3275 - Kota Bekasi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3276 - Kota Depok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3277 - Kota Cimahi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3278 - Kota Tasikmalaya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3279 - Kota Banjar;23;496;111;16;63;5;25.7;0;114.3;23.1;124;56;122.2;0;0;26;536;133;20;66;6;31;0;118;24;134.5;62.5;146;0;0;23;10.81;11.98;12.5;10.48;12;12.06225681;0;0;0;0;0;0;0;0
3301 - Kab. Cilacap;248;3982;1932;1737;3139;796;264.7;8530;7024.9;4164.7;5494.1;4805;351.5;0;0;264;4615;2399;2275;4210;1076;356.6183;1212.5;6365.3;2959.7;2845.7;4016.4;355.9;0;0;10.63;11.59;12.42;13.09;13.41;13.52;13.47254628;14.21;9.06105425;7.106634331;5.179556251;8.358792924;10.12517781;0;0
3302 - Kab. Banyumas;831;854;553;207;288;187;175.5;917;1267.8;121.7;388.4;293.9;256.9;0;0;1000;436;250;109;151;92;92.8485;53.3;1317;127;258.8;255.4;463;0;0;12.03;5.11;4.51;5.26;5.25;4.92;5.290512821;5.81;10.38807383;10.43549712;6.66323378;8.690030623;18.02257688;0;0
3303 - Kab. Purbalingga;37;8;19;34;15;7;7;4;1;0;89.6;25.3;51.1;0;0;45;18;26;44;19;10;8.542;0.4;1;0;51.1;5.8;33.4;0;0;12.16;22.5;13.89;12.88;12.91;13.65;12.20285714;11.31;10;0;5.703125;2.292490119;6.536203523;0;0
3304 - Kab. Banjarnegara;24;1;5;4;7;0;19.1;21;0;1;265.7;79.8;6.9;0;0;24;1;4;3;2;0;24.0087;1.8;0;0.6;112.7;3.5;6.8;0;0;9.94;10;7.59;6.8;2.8;0;12.57;8.44;0;6;4.241625894;0.438596491;9.855072464;0;0
3305 - Kab. Kebumen;346;8194;8792;7093;9731;10439;873;13321;15058.4;10086;5087.3;10712.1;1199.9;0;0;393;7679;9298;7094;9469;13619;178.696;1237.4;14870.3;6519.9;3194;24334;3367.6;0;0;11.36;9.37;10.58;10;9.73;13.05;2.046918671;9.29;9.875086331;6.46430696;6.278379494;22.71636747;28.06567214;0;0
3306 - Kab. Purworejo;65;67;216;158;264;691;1591.8;2650;3274.9;3437.1;1694;2847.5;3185;0;0;59;65;234;172;365;957;2206.1838;368;3363;3494.8;464;85.2;4802;0;0;9.06;9.7;10.85;10.91;13.84;13.84;13.85967961;13.89;10.26901585;10.16787408;2.739079103;0.299209833;15.07692308;0;0
3307 - Kab. Wonosobo;12;3;3;1;0;2;0;0;0;0;0;0;0;0;0;14;3;4;1;0;2;0;0;0;0;0;0;0;0;0;11.28;10;12.67;11.97;0;10;0;0;0;0;0;0;0;0;0
3308 - Kab. Magelang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3309 - Kab. Boyolali;12;5;5;13;19;0;51;9;0;0;6.8;0;0;0;0;14;4;4;0;13;0;35.862;0.6;0;0;77;0;0;0;0;11.5;80;8.8;0;6.97;0;7.031764706;7.08;0;0;113.2352941;0;0;0;0
3310 - Kab. Klaten;110;294;209;82;174;112;298.2;125;71.5;369.3;1840.5;1003.8;252.7;0;0;120;301;226;100;196;120;260.2572;15.5;74;383;1984.7;1485.1;268.5;0;0;10.94;10.24;10.8;12.17;11.26;10.74;8.727605634;12.43;10.34965035;10.37097211;10.78348275;14.79477984;10.62524733;0;0
3311 - Kab. Sukoharjo;75;135;110;47;33;19;17.5;74;76;0;19.4;6.8;52.5;0;0;88;148;140;61;40;23;19.4425;8.6;76;0;23;3;6;0;0;11.7;10.96;12.74;12.91;12.01;12.11;11.11;11.64;10;0;11.8556701;4.411764706;1.142857143;0;0
3312 - Kab. Wonogiri;187;205;314;87;193;98;166.4;134;64.6;38.4;91.4;164.8;100.2;0;0;206;146;249;88;221;122;179.6328;14.3;65;39;92;173;115.6;0;0;11.02;7.12;7.92;10.06;11.45;12.45;10.79524038;10.68;10.0619195;10.15625;10.06564551;10.49757282;11.53692615;0;0
3313 - Kab. Karanganyar;5;4;0;0;0;5;0;11;0;0;0;0;0;0;0;6;4;0;0;0;5;0;1.3;0;0;0;0;0;0;0;11;10;0;0;0;10;0;12.06;0;0;0;0;0;0;0
3314 - Kab. Sragen;667;1069;1123;695;505;294;202;34;49.7;69.3;145.3;18.8;0;0;0;756;2009;1256;872;620;375;259.974;4.4;51;71;187.1;19.5;0;0;0;11.34;18.79;11.18;12.55;12.28;12.75;12.87;12.82;10.26156942;10.24531025;12.87680661;10.37234043;0;0;0
3315 - Kab. Grobogan;21486;24523;22385;12231;18183;22790;33095.1;27975;26174.2;23214.7;27071.7;30584.1;10827.9;0;0;23444;26758;24858;13052;21925;26317;39889.2447;3599.3;31197.5;39805.5;17889.8;34520.3;9952.6;0;0;10.91;10.91;11.1;10.67;12.06;11.55;12.0529156;12.87;11.91917996;17.14667861;6.608303136;11.28700861;9.191625338;0;0
3316 - Kab. Blora;3390;2591;4816;2188;1983;1724;887.1;834;1561.4;255.6;3483.7;1934.9;1573.7;0;0;3399;2379;4673;2445;1915;1994;801.7461;81;1520.4;308.6;3449.5;1986.2;1824.6;0;0;10.03;9.18;9.7;11.18;9.66;11.57;9.037832262;9.71;9.73741514;12.07355243;9.901828516;10.26512998;11.59433183;0;0
3317 - Kab. Rembang;5211;4598;3595;3699;2414;1961;1730.3;1307;1379.5;423.4;1075.7;1797.4;1507.8;0;0;5810;5505;3936;3551;2977;2238;1393.2303;101;1011.3;682;994.4;1753.8;1504;0;0;11.15;11.97;10.95;9.6;12.33;11.41;8.051958042;7.73;7.330916999;16.10769957;9.244213071;9.757427395;9.974797719;0;0
3318 - Kab. Pati;11365;13493;13790;10357;11300;9090;7325.3;9108;12530.5;5392.1;11750.9;11705.1;6038.9;0;0;15181;15239;16214;12510;12748;10075;9295.0481;1044.6;10314.2;5528.3;14452.3;12754.9;3773.3;0;0;13.36;11.29;11.76;12.08;11.28;11.08;12.68896578;11.47;8.231275687;10.25259175;12.29888774;10.89687401;6.24832337;0;0
3319 - Kab. Kudus;2255;4275;4455;954;2238;3960;2562.9;3874;3766.7;5085;3615.4;4065.4;182.1;0;0;2323;4643;4582;958;2419;4528;2466.2538;448.4;3736.4;5552;4291.9;4349.1;153.5;0;0;10.3;10.61;10.29;10.04;10.81;11.43;9.622902961;11.57;9.919558234;10.91838741;11.87116225;10.69784031;8.429434377;0;0
3320 - Kab. Jepara;64;55;45;45;30;24;13.5;4;6.7;0;5.8;14;61.5;0;0;70;80;57;57;38;30;16.9965;0.4;7;0;7.8;13.3;71.8;0;0;10.86;14.55;12.62;12.72;12.61;12.55;12.59;10.53;10.44776119;0;13.44827586;9.5;11.67479675;0;0
3321 - Kab. Demak;13043;29334;29285;13746;25421;27447;19118;25977;26297.8;28289.8;26114.6;23481.4;4753.4;0;0;17275;40695;39101;15874;34099;34536;25540.5786;3649.9;27726.8;34117.2;30835.1;22661.7;4354.8;0;0;13.24;13.87;13.35;11.55;13.41;12.58;13.35944063;14.05;10.54339146;12.05989438;11.80760954;9.650915192;9.161442336;0;0
3322 - Kab. Semarang;40;0;0;0;0;0;0;0;11.6;0;0;14.5;0;0;0;44;0;0;0;0;0;0;0;12;0;0;1.2;0;0;0;10.93;0;0;0;0;0;0;0;10.34482759;0;0;0.827586207;0;0;0
3323 - Kab. Temanggung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3324 - Kab. Kendal;1545;1696;2102;1461;1022;895;647.6;1025;881.2;749.4;236.2;388.1;530.9;0;0;1888;1933;2559;1684;1206;1088;860.7083;125.4;1176;938.3;321.2;535.4;907.5;0;0;12.22;11.4;12.17;11.53;11.8;12.16;13.29073965;12.24;13.34543804;12.52068321;13.59864522;13.79541355;17.09361462;0;0
3325 - Kab. Batang;0;4;8;2;0;1;0;16;7.8;1;5.9;31.3;40.2;0;0;0;4;9;2;0;1;0;1.6;8;1;21;27.1;2.4;0;0;0;10;11.11;10.44;0;10;0;10.19;10.25641026;10;35.59322034;8.658146965;0.597014925;0;0
3326 - Kab. Pekalongan;398;535;293;626;428;255;46.6;404;301.3;122;326.4;201;135.2;0;0;374;649;269;549;381;223;45.7756;35.9;312;126;241.7;1107.4;346.7;0;0;9.41;12.13;9.16;8.77;8.9;8.76;9.823090129;8.9;10.35512778;10.32786885;7.40502451;55.09452736;25.64349112;0;0
3327 - Kab. Pemalang;151;29;9;45;107;14;83.5;32;1;0;149.6;3;0;0;0;183;51;10;46;77;12;71.5363;0;0.7;0;197.6;2.2;0;0;0;12.14;17.59;10.59;10.2;7.24;8.58;8.567221557;0;7;0;13.20855615;7.333333333;0;0;0
3328 - Kab. Tegal;90;32;44;29;143;58;3;10;32.9;6.8;79.2;51.3;39.1;0;0;107;39;36;25;173;61;0;0;34;7;129;165;22;0;0;11.92;12.19;8.18;8.71;12.09;10.52;0;0;10.3343465;10.29411765;16.28787879;32.16374269;5.626598465;0;0
3329 - Kab. Brebes;4067;2912;846;2264;2456;1295;4472.7;2820;4575.2;2651.9;3738.1;3320;2947.2;0;0;4509;2943;923;2551;2800;1462;5098.3146;315.8;4792;2756;5334.8;3967.9;62.9;0;0;11.09;10.11;10.91;11.27;11.4;11.29;11.39874036;0;10.47385907;10.39254874;14.27142131;11.95150602;0.21342291;0;0
3371 - Kota Magelang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3372 - Kota Surakarta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3373 - Kota Salatiga;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3374 - Kota Semarang;177;158;148;136;128;22;19.5;9;5.8;0;7.7;0;1;0;0;208;171;180;154;152;26;21.7581;1;6;0;0.8;0;1;0;0;11.73;10.82;12.18;11.29;11.91;11.82;11.158;11.91;10.34482759;0;1.038961039;0;10;0;0
3375 - Kota Pekalongan;0;0;0;0;0;0;0;5;0;6.8;4.8;0;0;0;0;0;0;0;0;0;0;0;0.3;0;7;1.4;0;0;0;0;0;0;0;0;0;0;0;4.42;0;10.29411765;2.916666667;0;0;0;0
3376 - Kota Tegal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3401 - Kab. Kulon Progo;191;134;165;146;106;106;143.5;324.2;236.1;151.3;219.3;177.3;314.9;0;0;118;82;98;80;65;62;82;179;276.4;155.6;128.5;149;169.6;0;0;6.18;6.12;5.94;5.48;6.13;5.85;5.71;5.52;0;0;0;0;0;0;0
3402 - Kab. Bantul;51;55;85;68;30;3;6.9;25.6;9.6;24.2;64.5;43.8;57.8;0;0;34;37;55;42;14;1;3;13;10;25;63.8;34.2;54;0;0;6.67;6.73;6.47;6.18;4.97;4.97;4.35;4.97;0;0;0;0;0;0;0
3403 - Kab. Gunung Kidul;780;403;240;329;290;271;310.6;169.1;202.1;104;353.7;347.6;295.6;0;0;456;235;139;189;173;157;204;109;165.6;112.3;363.3;372.9;274.2;0;0;5.85;5.83;5.79;5.74;5.97;5.79;6.57;6.45;0;0;0;0;0;0;0
3404 - Kab. Sleman;2;22;11;9;13;14;0;0;0;3.8;7.5;0;0;0;0;2;17;8;7;9;10;0;0;0;4;8;0;0;0;0;7.6;7.73;7.24;7.47;6.92;7.45;0;0;0;0;0;0;0;0;0
3471 - Kota Yogyakarta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3501 - Kab. Pacitan;57;52;48;40;0;51;29.2;0;137.5;129.4;131.2;140.9;64;0;0;57;54;49;0;0;54;0;0;175;133;151.7;149;60;0;0;10;10.38;10.16;0;0;10.59;0;0;0;0;0;0;0;0;0
3502 - Kab. Ponorogo;681;1774;1266;997;0;1379;1357.4;0;1325.2;679.7;842.8;772.9;136.1;0;0;831;2014;1493;0;0;1542;1546.9;0;1671.8;786.4;578;886;236.8;0;0;12.2;11.35;11.8;0;0;11.18;11.4;0;0;0;0;0;0;0;0
3503 - Kab. Trenggalek;9;35;10;26;0;107;2;0;43.4;74.3;343.4;79.8;5.9;0;0;9;33;9;0;0;1;2;0;44;75;929;113.2;10;0;0;10;9.43;9.26;0;0;0.09;10.1;0;0;0;0;0;0;0;0
3504 - Kab. Tulungagung;40;96;120;74;0;102;34;0;72.3;51.5;77.2;12.5;8.7;0;0;37;90;117;0;0;103;34.7;0;75;71.1;108.3;8.4;2.1;0;0;9.25;9.38;9.74;0;0;10.1;10.22;0;0;0;0;0;0;0;0
3505 - Kab. Blitar;869;464;169;143;0;288;141;0;247;34.6;216.7;238;123;0;0;878;491;178;0;0;275;135.1;0;247;35;235.9;200.4;136;0;0;10.1;10.58;10.51;0;0;9.55;9.58;0;0;0;0;0;0;0;0
3506 - Kab. Kediri;12;0;42;0;0;0;0;0;0;0;0;0;1;0;0;13;0;45;0;0;0;0;0;0;0;0;0;1.2;0;0;10.83;0;10.8;0;0;0;0;0;0;0;0;0;0;0;0
3507 - Kab. Malang;9;11;0;0;0;23;13.8;0;22;8;76.1;54.2;1;0;0;9;11;0;0;0;26;15.2;0;22;8;393.2;48.3;1;0;0;10;10;0;0;0;11.3;10.98;0;0;0;0;0;0;0;0
3508 - Kab. Lumajang;110;78;60;10;0;18;8;0;3;1;68.4;39.1;8;0;0;114;81;63;0;0;19;8.3;0;3;1;96;40;9;0;0;10.36;10.38;10.53;0;0;10.56;10.34;0;0;0;0;0;0;0;0
3509 - Kab. Jember;327;335;98;26;58;54;93.2;0;41.3;31.6;15.9;49;78.4;0;0;334;340;97;0;63;56;99.1;0;39;32;19.6;69.5;125.2;0;0;10.21;10.15;9.94;0;10.86;10.37;10.63;0;0;0;0;0;0;0;0
3510 - Kab. Banyuwangi;4156;3473;3438;3329;0;1207;1060;0;505;678.4;753.5;134.5;63.6;0;0;5254;4422;4339;0;0;1539;1217.9;0;510;679;7488;161.9;109.4;0;0;13.64;12.73;12.62;0;0;12.75;11.49;0;0;0;0;0;0;0;0
3511 - Kab. Bondowoso;105;78;140;240;0;102;43;0;41.9;50;121;59;20.9;0;0;102;78;143;0;0;112;43.2;0;42;51;1.5;64;20.6;0;0;9.71;10;10.22;0;0;10.98;10.04;0;0;0;0;0;0;0;0
3512 - Kab. Situbondo;496;483;207;195;0;121;113.6;0;99.6;45;59.5;196;130.8;0;0;497;509;213;0;0;139;123.2;0;101;45;49;181;104.3;0;0;10.02;10.54;10.28;0;0;11.49;10.84;0;0;0;0;0;0;0;0
3513 - Kab. Probolinggo;715;668;798;490;0;235;119.8;0;178.9;270;259.8;70.9;3;0;0;914;845;986;0;0;288;146.5;0;180;270;262;68;2.7;0;0;12.78;12.65;12.35;0;0;12.26;12.23;0;0;0;0;0;0;0;0
3514 - Kab. Pasuruan;2452;2343;1172;1473;0;1382;1210.1;0;980.3;146.9;287;114;129.8;0;0;2630;2505;1265;0;0;1587;1390.4;0;1005;150;425;210;157.2;0;0;10.73;10.69;10.79;0;0;11.48;11.49;0;0;0;0;0;0;0;0
3515 - Kab. Sidoarjo;694;1879;1827;1478;0;1583;846.5;0;1601.4;1785;636.2;921.2;552.4;0;0;761;1919;1936;0;0;1753;938;0;1674;1866;2488;1323.4;473.4;0;0;10.97;10.21;10.6;0;0;11.06;11.08;0;0;0;0;0;0;0;0
3516 - Kab. Mojokerto;1905;1836;1554;1765;0;1540;2155.3;0;1914.1;1613.6;1813.6;1812.5;1527.9;0;0;2276;1995;1743;0;0;1781;2401.7;0;2018;1702;3088.3;1214.4;1765.6;0;0;11.95;10.87;11.22;0;0;11.56;11.14;0;0;0;0;0;0;0;0
3517 - Kab. Jombang;204;196;122;99;0;210;120.8;0;62.9;48.3;61.8;62.7;34.8;0;0;202;199;128;0;0;229;132;0;65;50;38;17.4;4.3;0;0;9.9;10.15;10.46;0;0;10.9;10.92;0;0;0;0;0;0;0;0
3518 - Kab. Nganjuk;1419;2004;506;1084;0;1017;486.2;0;731.1;428.8;683.6;638.4;782.9;0;0;1491;2094;545;0;0;1108;517;0;800.1;447;11.3;115.5;1162.5;0;0;10.51;10.45;10.76;0;0;10.89;10.63;0;0;0;0;0;0;0;0
3519 - Kab. Madiun;2502;3095;1485;602;0;2785;1619.3;0;2369.2;2972.9;2055.5;2670.1;2873.3;0;0;3090;3425;1714;0;0;3398;1786.1;0;2757;3146.7;2550.8;5534.9;3831.4;0;0;12.35;11.07;11.55;0;0;12.2;11.03;0;0;0;0;0;0;0;0
3520 - Kab. Magetan;57;82;54;22;0;53;21.9;0;73.6;51.6;597.8;406.9;400.2;0;0;60;86;58;0;0;60;20.4;0;79;54;611;692;712.3;0;0;10.53;10.49;10.82;0;0;11.32;9.32;0;0;0;0;0;0;0;0
3521 - Kab. Ngawi;295;194;156;165;0;184;121.2;0;308.1;215.5;219.9;167;132;0;0;331;220;182;0;0;203;135.7;0;319;223;267;264.5;61;0;0;11.22;11.34;11.69;0;0;11.03;11.19;0;0;0;0;0;0;0;0
3522 - Kab. Bojonegoro;6318;4211;4886;3709;0;5342;7081.4;0;4774.4;2491.4;4027.1;4141.2;3035.9;0;0;8427;5248;6509;0;0;7078;8579.1;0;4857;2543;2238;3317.8;942.8;0;0;13.34;12.46;13.32;0;0;13.25;12.11;0;0;0;0;0;0;0;0
3523 - Kab. Tuban;8073;7759;5097;4590;0;2935;3280.1;0;879.6;708.6;581.5;971;937.8;0;0;10220;9909;6615;0;0;3873;4086.2;0;2151.7;601.7;649.1;1065.4;1123;0;0;12.66;12.77;12.98;0;0;13.2;12.35;0;0;0;0;0;0;0;0
3524 - Kab. Lamongan;5148;5872;7951;4658;0;7938;8114.4;0;3970.5;4785;5043.9;7298.2;2970.8;0;0;6896;7352;10027;0;0;10655;9389;0;3986.6;5016;3170.3;9488.8;2841.7;0;0;13.4;12.52;12.61;0;0;13.42;11.57;0;0;0;0;0;0;0;0
3525 - Kab. Gresik;1432;2555;1251;1847;0;1811;2427.1;0;1426.5;332;469;274.7;475.9;0;0;1540;2710;1353;0;0;2139;2741.7;0;1439;334;609;440.2;631.1;0;0;10.75;10.61;10.82;0;0;11.81;11.3;0;0;0;0;0;0;0;0
3526 - Kab. Bangkalan;4537;3679;2924;2155;0;1909;2534.7;0;1684.2;1225.7;3338.6;1251.4;1494;0;0;4890;4030;3192;0;0;2229;2874.9;0;2280.4;1226.4;1007.5;1039.5;1246.6;0;0;10.78;10.95;10.92;0;0;11.68;11.34;0;0;0;0;0;0;0;0
3527 - Kab. Sampang;10757;11767;10980;11568;0;11332;5552.2;0;4957.1;5440.8;4492.1;4941.1;7544.1;0;0;12001;13797;12793;0;0;13139;6343.9;0;9969;5325;3979;4355.5;8877.9;0;0;11.16;11.73;11.65;0;0;11.59;11.43;0;0;0;0;0;0;0;0
3528 - Kab. Pamekasan;596;809;919;721;0;883;747.9;0;761;877;611.7;1409;1191.9;0;0;644;848;967;0;0;962;818.3;0;801.6;928.6;686.3;1425.3;1149.3;0;0;10.81;10.48;10.53;0;0;10.89;10.94;0;0;0;0;0;0;0;0
3529 - Kab. Sumenep;13826;12726;8516;7269;0;11514;10203.1;0;2810.2;10962;12842.5;14256;7451;0;0;15309;14957;9936;0;0;13386;11217.5;0;3373.5;14317.8;18452.1;20480.9;10015.2;0;0;11.07;11.75;11.67;0;0;11.63;11;0;0;0;0;0;0;0;0
3571 - Kota Kediri;0;2;0;0;0;0;0;0;0;0;0;2;7.7;0;0;0;2;0;0;0;0;0;0;0;0;0;0.9;3.6;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
3572 - Kota Blitar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3573 - Kota Malang;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3574 - Kota Probolinggo;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3575 - Kota Pasuruan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3576 - Kota Mojokerto;26;30;43;20;0;24;0;0;2.8;2.8;4.7;2.4;0;0;0;23;27;41;0;0;25;0;0;3;3;16;1;0;0;0;8.85;9;9.42;0;0;10.45;0;0;0;0;0;0;0;0;0
3577 - Kota Madiun;31;36;37;31;0;41;46.4;0;84.3;71.9;148.7;151.5;154.3;0;0;28;36;36;0;0;43;49;0;89;76;196;160;167;0;0;9.03;10;9.82;0;0;10.56;10.56;0;0;0;0;0;0;0;0
3578 - Kota Surabaya;2;2;4;19;0;21;13.6;0;1.9;2.9;3.9;1.9;12.2;0;0;2;2;4;0;0;19;12.9;0;2;3;2.8;1.8;13.1;0;0;10;10;10.27;0;0;10.15;9.49;0;0;0;0;0;0;0;0
3579 - Kota Batu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3601 - Kab. Pandeglang;458;484;300;289;622;256;185;116.4;223.8;845.3;206.4;116.8;40;0;0;368;379;242;236;515;199.02;149;86.12;351.7;873;334.8;100.3;111.8;0;0;8.04;7.84;8.05;8.15;8.28;7.77;8.05;0;0;0;0;0;0;0;0
3602 - Kab. Lebak;133;62;89;197;86;56;66;26;13;17;2;43.7;14.8;0;0;110;50;73;161;71;45.53;54;18.99;13;27;2;32.4;13;0;0;8.29;8.05;8.18;8.17;8.31;8.13;8.2;0;0;0;0;0;0;0;0
