Nama Kota;Luas Panen 2010;Luas Panen 2011;Luas Panen 2012;Luas Panen 2013;Luas Panen 2014;Luas Panen 2015;Luas Panen 2016;Luas Panen 2017;Luas Panen 2018;Luas Panen 2019;Luas Panen 2020;Luas Panen 2021;Luas Panen 2022;Luas Panen 2023;Luas Panen 2024;Produksi 2010;Produksi 2011;Produksi 2012;Produksi 2013;Produksi 2014;Produksi 2015;Produksi 2016;Produksi 2017;Produksi 2018;Produksi 2019;Produksi 2020;Produksi 2021;Produksi 2022;Produksi 2023;Produksi 2024;Produktivitas 2010;Produktivitas 2011;Produktivitas 2012;Produktivitas 2013;Produktivitas 2014;Produktivitas 2015;Produktivitas 2016;Produktivitas 2017;Produktivitas 2018;Produktivitas 2019;Produktivitas 2020;Produktivitas 2021;Produktivitas 2022;Produktivitas 2023;Produktivitas 2024
1672 - Kota Prabumulih;21;52;39;55;59;39;0;0;30;0;20;25;0;0;0;26;70;53;89;80;53;0;0;30;0;20;25;0;0;0;13.42;13.55;13.55;16.25;13.55;13.59;0;0;0;0;0;0;0;0;0
1673 - Kota Pagaralam;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;18;14;0;0;0;0;0;0;0;0;0;0;0;0;0;13.43;13.89;0;0;0;0;0;0;0;0;0;0;0;0;0
1674 - Kota Lubuk Linggau;15;29;32;9;10;0;0;0;2;3;51;0;1;0;0;19;37;41;11;13;0;0;0;2;3;51;0;1;0;0;13.43;12.72;12.72;12.72;12.72;0;0;0;0;0;0;0;0;0;0
1701 - Kab. Bengkulu Selatan;93;70;59;29;48;27;9.9;17.6;29.8;31.9;41.9;30;34;0;0;90;68;57;28;46;25;9.706751379;18.00461887;28;30;40;31;34;0;0;9.66;9.71;9.66;9.66;9.64;9.26;9.804799373;10.22989708;0;0;0;0;0;0;0
1702 - Kab. Rejang Lebong;213;192;247;281;261;211;54;35;14;12;5;2;0;0;0;206;196;250;290;263;210;54.62254127;37.54504931;23;12;9;2;0;0;0;9.65;10.21;10.12;10.32;10.06;9.95;10.11528542;10.72715695;0;0;0;0;0;0;0
1703 - Kab. Bengkulu Utara;471;532;352;278;258;203;180.7;125.3;52.7;1;19.9;22;48;0;0;459;536;355;283;257;196;182.0801897;132.7287758;38;1;25.4;28.9;61.2;0;0;9.74;10.08;10.09;10.18;9.98;9.65;10.07638017;10.59287916;0;0;0;0;0;0;0
1704 - Kab. Kaur;152;185;246;204;148;76;36;32;59.9;47;38;48;50;0;0;146;178;234;197;143;71;34.84587835;33.11355347;111;68;28.5;44;56.6;0;0;9.61;9.62;9.51;9.66;9.63;9.34;9.679410652;10.34798546;0;0;0;0;0;0;0
1705 - Kab. Seluma;58;87;63;56;41;20;33;50.4;41;49.4;15;31.9;20;0;0;56;84;60;55;40;18;32.36502895;52.09426706;32.6;102;13.2;27.5;22.4;0;0;9.62;9.66;9.52;9.82;9.64;9;9.80758453;10.3361641;0;0;0;0;0;0;0
1706 - Kab. Muko Muko;338;205;426;457;352;111;75;61;42;58;33;14;17;0;0;326;195;410;441;342;103;72.91052902;62.5725088;43.2;59.6;66;18.8;24;0;0;9.64;9.51;9.62;9.65;9.71;9.28;9.721403869;10.25778833;0;0;0;0;0;0;0
1707 - Kab. Lebong;5;7;1;1;0;0;0.2;0;0;0;1;0;7.5;0;0;5;7;1;1;0;0;0;0;0;0;1;0;11.3;0;0;9.91;10;10;10;0;0;0;0;0;0;0;0;0;0;0
1708 - Kab. Kepahiang;7;0;1;0;0;0;0;0;2;0;2;0;0;0;0;7;0;1;0;0;0;0;0;2;0;1;0;0;0;0;9.55;0;10;0;0;0;0;0;0;0;0;0;0;0;0
